große krampe,52.395324393139525,13.65640538459515,lake,68.0041,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
amerikasee,52.4524798101563,13.307417580686208,pond,0.3819,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
goebenteich,52.44867677746459,13.329998920291812,pond,0.2855,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
restaurantteich,52.44748716455488,13.337060097989433,pond,0.1613,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
krugpfuhl,52.448646662331235,13.451244371806906,pond,55.0,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
teichbach,52.43317697764108,13.411889748841311,pond,0.0752,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
kopfweidenpfuhl,52.43060067779545,13.4195027314486,pond,0.0998,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
teich vollkropfgraben,52.43689083849404,13.56702038235139,pond,0.2679,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
pucklerteich,52.466907451134674,13.273175990452012,pond,0.3374,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
britzer kirchteich,52.44738278512544,13.436414951304249,pond,0.7398,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
stieglakebecken,52.52907776200691,13.149205804689716,pond,0.1887,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
klarpfuhl,52.4031372699822,13.513344111166658,pond,0.2855,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
teich rudow (kleiner rothepfuhl),52.40786108116425,13.51054168117793,pond,0.0978,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
krummer katzenpfuhl,52.40710807727741,13.507168058055544,pond,79.0,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
