centroid_lon,centroid_lat,source
13.37062923227082,52.51457617740228,OSM lakes
13.376338912406586,52.529303682953646,OSM lakes
13.257197895346454,52.444263392665334,OSM lakes
13.357876023446874,52.436673050672674,OSM lakes
13.2873699665759,52.44925908964424,OSM lakes
13.33485739600184,52.449187989746335,OSM lakes
13.646231906272234,52.374292861643845,OSM lakes
13.160728000696093,52.53036084165197,OSM lakes
13.264899552316752,52.63674994235009,OSM lakes
13.2786365261557,52.63723544350846,OSM lakes
13.284008330370265,52.45038655898902,OSM lakes
13.417779336318691,52.43199846559476,OSM lakes
13.67809140572994,52.36329640935968,OSM lakes
13.23090254479418,52.42450198227717,OSM lakes
13.289166485998695,52.50338062478105,OSM lakes
13.39367586862169,52.60578970577877,OSM lakes
13.305720153709125,52.45498885641092,OSM lakes
13.48951207131159,52.60147380250794,OSM lakes
13.562739331998737,52.48196525727614,OSM lakes
13.38325752139073,52.463001160410926,OSM lakes
13.599146618025436,52.448331647004856,OSM lakes
13.334414338630488,52.612312369461634,OSM lakes
13.334640510327484,52.61181159198604,OSM lakes
13.40545239235781,52.578754871466906,OSM lakes
13.407916188971145,52.44110536226422,OSM lakes
13.382782879775196,52.4641794182641,OSM lakes
13.389766685584195,52.461005769239904,OSM lakes
13.35328012217782,52.450291770352635,OSM lakes
13.431885411989724,52.42231819154544,OSM lakes
13.488348337567148,52.582709637686314,OSM lakes
13.303014001706904,52.643430850983776,OSM lakes
13.463586704802877,52.55420419415144,OSM lakes
13.44196202087084,52.47498185418023,OSM lakes
13.122555274321437,52.40109706889277,OSM lakes
13.251844108463184,52.51114444568056,OSM lakes
13.565916219165771,52.43476062964229,OSM lakes
13.281985833223288,52.63545863909898,OSM lakes
13.277215690539466,52.63599615971624,OSM lakes
13.394039616345207,52.44125578239011,OSM lakes
13.221743371377176,52.61512345814857,OSM lakes
13.238341276243656,52.446136047641794,OSM lakes
13.445441953140987,52.56739012735381,OSM lakes
13.352636725639467,52.45154479433238,OSM lakes
13.23882174840547,52.46951259118534,OSM lakes
13.448613308770833,52.448227022200264,OSM lakes
13.456595441788634,52.55494280905216,OSM lakes
13.452744771397406,52.55297872780509,OSM lakes
13.298535548347258,52.63182107947684,OSM lakes
13.676172173180538,52.42971436163596,OSM lakes
13.36929366617623,52.45921822913875,OSM lakes
13.501131254149149,52.41743541561234,OSM lakes
