id,name,brand,operator,address,latitude,longitude,district,district_id,neighborhood,neighborhood_id,opening_hours,car_wash,compressed_air,wheelchair,fuel:diesel,fuel:octane_95,geometry_wkt
342803892,Aral,Aral,,,52.455224139849314,13.555956640555024,Treptow-Köpenick,11009009,Oberschöneweide,0909,24/7,,yes,yes,yes,yes,POINT (13.555957 52.455224)
344070484,Jet,JET,,,52.45309942004948,13.514016280928296,Treptow-Köpenick,11009009,Niederschöneweide,0905,24/7,,yes,yes,yes,yes,POINT (13.514016 52.453099)
355340596,Elan,Elan,,,52.454662881397766,13.6167842500366,Treptow-Köpenick,11009009,Friedrichshagen,0911,,,yes,,yes,yes,POINT (13.616784 52.454663)
364588563,Aral,Aral,Siegbert Quapp,,52.48152942087899,13.441332211830469,Neukölln,11008008,Neukölln,0801,24/7,,yes,yes,yes,yes,POINT (13.441332 52.481529)
365895665,Jet,JET,,,52.49490719093696,13.52451373265709,Lichtenberg,11011011,Friedrichsfelde,1101,24/7,,yes,yes,yes,yes,POINT (13.524514 52.494907)
367868428,Shell,Shell,Shell Deutschland Oil,,52.50712116944402,13.485856009831258,Lichtenberg,11011011,Lichtenberg,1103,"Mo-Su,PH 00:00-24:00",,yes,yes,,,POINT (13.485856 52.507121)
417354176,Jet,JET,,,52.5263988146675,13.488881834187662,Lichtenberg,11011011,Lichtenberg,1103,Mo-Fr 05:00-23:00; Sa 06:00-23:00; Su 06:00-23:00,,yes,yes,yes,yes,POINT (13.488882 52.526399)
420046391,Total,TotalEnergies,,,52.554434187105706,13.207168489835224,Spandau,11005005,Spandau,0501,"Mo-Fr 05:00-22:00; Sa,Su,PH 07:00-22:00",,yes,yes,yes,yes,POINT (13.207168 52.554434)
441030053,Sprint,Sprint,,,52.45628121650416,13.62088104296007,Treptow-Köpenick,11009009,Friedrichshagen,0911,,,yes,,yes,yes,POINT (13.620881 52.456281)
465219320,Jet,JET,Jet,,52.412169517642674,13.387429116767368,Tempelhof-Schöneberg,11007007,Marienfelde,0705,Mo-Su 00:00-24:00,,yes,,yes,yes,POINT (13.387429 52.41217)
515950857,JET,JET,,,52.53477725215318,13.565849639841298,Marzahn-Hellersdorf,11010010,Marzahn,1001,,,yes,,yes,yes,POINT (13.56585 52.534777)
524448307,Star,star,Germania Petrol GmbH,,52.55705388846468,13.527085604381536,Lichtenberg,11011011,Neu-Hohenschönhausen,1109,24/7,,yes,yes,,,POINT (13.527086 52.557054)
534588175,Star,star,,,52.559763198658125,13.49662601388112,Lichtenberg,11011011,Alt-Hohenschönhausen,1110,Mo-Sa 06:00-22:00; Su 07:00-22:00,,yes,yes,yes,yes,POINT (13.496626 52.559763)
547040234,Sprint,Sprint,Angelika Mau,,52.484553162847384,13.429236497518438,Neukölln,11008008,Neukölln,0801,24/7,,yes,yes,yes,yes,POINT (13.429236 52.484553)
601395259,Jet,JET,Sandra Jacobsen,,52.413433621002525,13.278028196605854,Steglitz-Zehlendorf,11006006,Lichterfelde,0602,Mo-Su 06:00-22:00,,yes,yes,yes,yes,POINT (13.278028 52.413434)
932153077,Aral,Aral,Marco Hennig,,52.5019822649637,13.409764481277252,Friedrichshain-Kreuzberg,11002002,Kreuzberg,0202,24/7,,no,yes,yes,yes,POINT (13.409764 52.501982)
1022638074,unknown gas station,,,,52.482988551546775,13.402405002447862,Tempelhof-Schöneberg,11007007,Tempelhof,0703,,,,,,,POINT (13.402405 52.482989)
1182797354,Esso,Esso,,,52.41443252252318,13.402230656788504,Neukölln,11008008,Buckow,0803,24/7,,yes,,yes,yes,POINT (13.402231 52.414433)
1292516178,H2 Tankstelle,H2 Mobility,H2 MOBILITY,,52.45052829728933,13.433790881061958,Neukölln,11008008,Britz,0802,24/7,,,yes,,,POINT (13.433791 52.450528)
1329001032,Aral,Aral,Deutsche BP,,52.459810990155574,13.504335710637843,Treptow-Köpenick,11009009,Niederschöneweide,0905,24/7,,yes,,yes,yes,POINT (13.504336 52.459811)
1329306839,Star,star,Star,,52.44982298048506,13.350227742370086,Steglitz-Zehlendorf,11006006,Steglitz,0601,"Mo-Fr 07:00-22:00; Sa,Su 08:00-22:00",,yes,yes,yes,yes,POINT (13.350228 52.449823)
