id,opening_hours,fee,geometry,latitude,longitude,atm_type,accessibility,address,name,district,neighborhood_id,neighborhood,district_id
495237837,,,POINT (13.3096419 52.5469559),52.5469559,13.3096419,standalone,,"Saatwinkler Damm, 13627, Berlin",unknown_atm,Charlottenburg-Wilmersdorf,0406,Charlottenburg-Nord,11004004
513965616,,,POINT (13.4406172 52.4733398),52.4733398,13.4406172,standalone,not accessible,"Karl-Marx-Straße, 12043, Berlin",unknown_atm,Neukölln,0801,Neukölln,11008008
528148813,Mo-Sa 07:00-21:00,fee varies,POINT (13.4184296 52.5363381),52.5363381,13.4184296,indoor,accessible,"Wörther Straße, 10405, Berlin",Berliner Volksbank,Pankow,0301,Prenzlauer Berg,11003003
528148816,,fee varies,POINT (13.408335 52.53694),52.53694,13.408335,standalone,accessible,"Kastanienallee, 82, 10435, Berlin",Bankhaus August Lenz,Pankow,0301,Prenzlauer Berg,11003003
530733753,,,POINT (13.5922361 52.5293213),52.5293213,13.5922361,standalone,partially accessible,"Neue Grottkauer Straße, 12619, Berlin",Berliner Volksbank,Marzahn-Hellersdorf,1005,Hellersdorf,11010010
538039424,,fee varies,POINT (13.4063548 52.535059),52.535059,13.4063548,standalone,not accessible,"Kastanienallee, 10119, Berlin",Euronet,Mitte,0101,Mitte,11001001
538257749,,,POINT (13.2326408 52.4369876),52.4369876,13.2326408,standalone,accessible,"Urselweg, 14163, Berlin",Cardpoint GmbH,Steglitz-Zehlendorf,0604,Zehlendorf,11006006
549227519,06:00-22:00,,POINT (13.5043852 52.5482381),52.5482381,13.5043852,standalone,accessible,"Leuenberger Straße, 13055, Berlin",Berliner Sparkasse,Lichtenberg,1110,Alt-Hohenschönhausen,11011011
579989084,,,POINT (13.2636288 52.5374963),52.5374963,13.2636288,standalone,,"Rohrdamm, 85, 13629, Berlin",Cashpool,Spandau,0503,Siemensstadt,11005005
582884408,24/7,,POINT (13.478758 52.5273738),52.5273738,13.478758,standalone,partially accessible,"Weißenseer Weg, 10367, Berlin",Berliner Volksbank,Lichtenberg,1111,Fennpfuhl,11011011
593781955,,,POINT (13.3446196 52.4358585),52.4358585,13.3446196,standalone,accessible,"Kaiser-Wilhelm-Straße, 74, 12247, Berlin",Berliner Sparkasse,Steglitz-Zehlendorf,0603,Lankwitz,11006006
607971896,Mo-Fr 06:00-23:00; Sa-Su 08:00-23:00,,POINT (13.4523446 52.5186567),52.5186567,13.4523446,indoor,partially accessible,"Bersarinplatz, 10249, Berlin",Berliner Sparkasse,Friedrichshain-Kreuzberg,0201,Friedrichshain,11002002
618048314,,,POINT (13.4959246 52.634545),52.634545,13.4959246,indoor,accessible,"Schlosspark-Passage, 13125, Berlin",Berliner Sparkasse,Pankow,0309,Buch,11003003
628068878,,,POINT (13.3045482 52.5088293),52.5088293,13.3045482,standalone,accessible,"Wilmersdorfer Straße, 46, 10627, Berlin",Postbank,Charlottenburg-Wilmersdorf,0401,Charlottenburg,11004004
646593047,,,POINT (13.388815 52.549929),52.549929,13.388815,indoor,accessible,"Behmstraße, 13357, Berlin",Ing,Mitte,0106,Gesundbrunnen,11001001
648665040,,,POINT (13.4700113 52.5062062),52.5062062,13.4700113,standalone,accessible,"Boxhagener Straße, 10245, Berlin",Euronet,Friedrichshain-Kreuzberg,0201,Friedrichshain,11002002
670658004,,,POINT (13.3495364 52.4815015),52.4815015,13.3495364,standalone,,"Dominicusstraße, 10827, Berlin",Cashzone,Tempelhof-Schöneberg,0701,Schöneberg,11007007
671776275,,,POINT (13.2586505 52.508274),52.508274,13.2586505,standalone,accessible,"Boyenallee, 14055, Berlin",Berliner Volksbank,Charlottenburg-Wilmersdorf,0405,Westend,11004004
674016086,,,POINT (13.392489 52.5432552),52.5432552,13.392489,standalone,accessible,"Brunnenstraße, 13355, Berlin",IC Cash Services,Mitte,0106,Gesundbrunnen,11001001
676381853,24/7,fee varies,POINT (13.4217122 52.5393376),52.5393376,13.4217122,standalone,partially accessible,"Danziger Straße, 10435, Berlin",Euronet,Pankow,0301,Prenzlauer Berg,11003003
677863187,,,POINT (13.4863368 52.6186485),52.6186485,13.4863368,standalone,accessible,"Achillesstraße, 46, 13125, Berlin",Berliner Sparkasse,Pankow,0305,Karow,11003003
688402315,24/7,,POINT (13.4055478 52.5099638),52.5099638,13.4055478,standalone,not accessible,"Neue Grünstraße, 10179, Berlin",Euronet,Mitte,0101,Mitte,11001001
698037699,,,POINT (13.4051167 52.5283244),52.5283244,13.4051167,standalone,accessible,"Gormannstraße, 14, 10119, Berlin",Cashzone,Mitte,0101,Mitte,11001001
722560308,24/7,,POINT (13.6861257 52.4422098),52.4422098,13.6861257,standalone,,"Fürstenwalder Allee, 12589, Berlin",Berliner Volksbank,Treptow-Köpenick,0912,Rahnsdorf,11009009
726126792,,,POINT (13.3140927 52.4744387),52.4744387,13.3140927,indoor,accessible,"Homburger Straße, 14197, Berlin",Berliner Sparkasse,Charlottenburg-Wilmersdorf,0402,Wilmersdorf,11004004
741036439,,,POINT (13.3698214 52.5251071),52.5251071,13.3698214,indoor,accessible,"Eingangsebene, 10557, Berlin",Reisebank,Mitte,0102,Moabit,11001001
752878312,24/7,,POINT (13.4549659 52.4732205),52.4732205,13.4549659,standalone,accessible,"Brusendorfer Straße, 12055, Berlin",Ge Money Bank,Neukölln,0801,Neukölln,11008008
