lake_name,natural_type,water_type,wikidata,centroid_lon,centroid_lat,area_ha,data_source,last_updated
Goldfischteich,water,pond,Q113604366,13.45659544178863,52.55494280905216,0.16494860579723866,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Kreuzpfuhl,water,pond,Q110655293,13.452744771397402,52.552978727805105,0.6912942680650264,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Fürstenteich,water,pond,,13.29853554834726,52.63182107947686,0.03552459926408068,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Kleiner Müggelsee,water,lake,Q32579887,13.676172173180547,52.42971436163596,11.794220033073001,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Blanke Helle,water,pond,Q59786221,13.36929366617623,52.459218229138756,0.35090001677549204,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Kattenpfuhl,water,pond,,13.501131254149152,52.41743541561233,0.41893475672376773,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Kiessee,water,pond,,13.520484437681125,52.422971504973994,0.4239756597563028,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Nikolassee,water,lake,Q1991313,13.192368973086966,52.424096923684274,5.896558544429379,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Elsensee,water,lake,Q26271493,13.602028791080158,52.498693224651355,11.484650405228697,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Railroad Pond,water,lake,,-72.77227821839564,41.63083090939592,11.420953917931795,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Holmes Pond,water,pond,,-72.75559449768056,41.62937051931844,1.3343876939573784,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Havel,water,lake,,13.194919887826643,52.498978204019146,150.2304521381126,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Roetepfuhl Britz,water,pond,Q59786179,13.427840622922092,52.441534987127845,0.2002371507327273,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Seerosenteich,water,pond,,13.35170993624522,52.51814564736076,0.0886050897228173,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Dominikusteich,water,pond,Q33207215,13.294599810435002,52.62176996756456,0.14789016235705427,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Kleiner Rohrpfuhl,water,pond,,13.491611914203542,52.41004184949291,0.14294769004150054,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Wilhelmsruher See,water,pond,,13.370021916089588,52.58425600045801,0.8099066030281493,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Großer Rohrpfuhl,water,pond,Q59786181,13.49319874812551,52.41097437407381,0.6031389309160551,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Theodosiusteich,water,pond,,13.356648396398457,52.44029691909661,0.04974878599040669,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Blümelteich,water,pond,Q117765431,13.388824707827963,52.44270005505098,1.314725535019536,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Dillgesteich,water,pond,,13.388936363057704,52.44219327576478,0.09247073857413056,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Kleiner Teich,water,pond,,13.39014292658553,52.441989944004355,0.07665224844725715,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Großer Karpfenpfuhl,water,pond,,13.40409311537033,52.43882245542605,0.18050361557053893,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Rothepfuhl,water,pond,,13.406257344730392,52.44041755651333,0.32738699636737184,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Dorfteich,water,pond,,13.495494429252783,52.4182404249519,0.04983193044066892,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Waldpfuhl,water,pond,,13.41446051261814,52.376912479099005,0.08280397779023571,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Teich Britz,water,pond,Q59786156,13.446013125970726,52.45837795243374,0.07164576186287196,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Poloteich,water,pond,,13.285889460315548,52.64499781109658,0.028729440260704786,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Laurinteich,water,pond,,13.272488805897337,52.6351420628503,0.054139907538927994,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Tropfsteinteich,water,pond,,13.412625485133843,52.42373187328512,0.10803630553116746,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Grüntenteich,water,pond,,13.397987103179814,52.439227195866984,0.040669464985829504,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Beckley Pond,water,pond,,-72.73135043632323,41.64301974967329,6.772598711748948,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Rixdorfer Teich,water,pond,,13.412055936378051,52.48228130906395,0.3864934864373278,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Carbo Pond,water,lake,,-72.75237646030787,41.638724955986575,6.919041147082158,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Wheeler Pond,water,pond,,-71.63083341936911,42.35792758846816,11.94333119623568,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Kelchpfuhl,water,pond,,13.357372316546492,52.44966000460187,0.059590566355467015,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Froschteich,water,pond,,13.23084036377453,52.49845237932055,0.023147913053259684,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Kleiner Karpfenpfuhl,water,pond,,13.399647381780632,52.43906596898259,0.09251527087859619,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Juncuspfuhl,water,pond,,13.409563617834399,52.43552114764617,0.11808897175362432,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Rotkopf-Pfuhl,water,pond,,13.40883033661809,52.43571733765814,0.06520711403194454,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Sembritzkiteich,water,pond,,13.350261537794255,52.45262032428052,0.012641462152599885,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Massantepfuhl,water,pond,,13.517685743221291,52.40566565441303,0.32636623718396013,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Schinkel-Fontäne,water,pond,Q113529077,13.399684449825152,52.51858614749075,0.01663725873484611,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Scheringteich,water,pond,,13.28808927170511,52.641955240171086,0.0251037131042333,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Neurandteich,water,pond,,13.273767913437645,52.6388420509779,0.057143157505727515,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Neubrückerteich,water,pond,,13.281825983997262,52.6404701517169,0.05593028696531318,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Ludwig-Lesser-Teich,water,pond,,13.288871967172406,52.638686422197814,0.07125174973947918,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Großer Müggelsee,water,lake,Q694789,13.648328022996775,52.43754427970842,742.5397166372992,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Pfuhl am Bullenwinkel,water,pond,,13.259918312790424,52.47009067730788,0.22738840213847944,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Schattenteich,water,pond,,13.361931268669206,52.40260161128032,0.057772684973980755,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Park Drive Pond,water,pond,,-72.81307805949045,41.57186367138755,0.4640588998019806,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Swede Pond,water,pond,,-72.76840583492864,41.60173989441388,7.404637656719638,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Mühlenfeldteich,water,pond,,13.306199339775297,52.60651822930944,0.07986990542857746,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Stubichtbecken,water,pond,,13.30665767205367,52.60666727186755,0.08530448654729708,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Feldgrabenteich,water,pond,,13.349059159726833,52.58099504169919,0.07837531195234547,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Kafeld Pfuhl,water,pond,,13.414193092758225,52.44117383279017,0.040417834844169914,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Römerteich,water,pond,,13.408815183617797,52.445744758697245,0.021578739728915705,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Rohrpfuhl,water,lake,Q48261223,13.614603017594204,52.514200023414155,0.22223938677907903,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Südpfuhl,water,pond,,13.316806632986248,52.407220225641,0.09137710935641932,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
"Leinegans, Indische Laufente",water,pond,,13.529011318089157,52.498799711078256,0.02496473883887015,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Brandpfuhl,water,pond,Q97379509,13.433918722369722,52.449818824190025,0.02162555561150547,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
