,detail_url,name,type,price_euro,number_of_rooms,surface_m2,floor,street,house_number,postal_code,first_tenant,address,latitude,longitude,geometry,neighborhood_id,neighborhood,district,district_id,id
51,https://www.immowelt.de/expose/936dbfc8-a050-4838-9a93-6fe84c1cbb8a,Studio zur Miete 360 € 1 Zimmer 93 m² 2. Geschoss frei ab 06.02.2026 Bahnhofstraße Köpenick Berlin 12555,Studio,360.0,1.0,93.0,2,,,12555,no,", 12555 Köpenick Berlin",52.4606337,13.5777707,POINT (13.5777707 52.4606337),0910,Köpenick,Treptow-Köpenick,11009009,20260206_10038
52,https://www.immowelt.de/expose/18624864-8609-44af-bf4b-a6c329e11992,Studio zur Miete 930 € 1 Zimmer 20 m² 1. Geschoss frei ab 01.05.2026 Warburgzeile Charlottenburg Berlin 10587,Studio,930.0,1.0,20.0,1,,,10587,no,", 10587 Charlottenburg Berlin",52.5179717,13.3188456,POINT (13.3188456 52.5179717),0401,Charlottenburg,Charlottenburg-Wilmersdorf,11004004,20260206_10039
53,https://www.immowelt.de/expose/94b19a7d-b5d4-4a78-a7a4-7c2c69830285,Wohnung zur Miete - Erstbezug 995 € 2 Zimmer 40 m² 1. Geschoss Kienhorststr. Reinickendorf Berlin 13403,Wohnung,995.0,2.0,40.0,1,,,13403,yes,", 13403 Reinickendorf Berlin",52.5751043,13.3186742,POINT (13.3186742 52.5751043),1201,Reinickendorf,Reinickendorf,11012012,20260206_10040
54,https://www.immowelt.de/expose/d4043120-352d-419d-be46-2bc6c02ac02e,Wohnung zur Miete - Erstbezug 995 € 2 Zimmer 45 m² EG Kienhorststr. Reinickendorf Berlin 13403,Wohnung,995.0,2.0,45.0,0,,,13403,yes,", 13403 Reinickendorf Berlin",52.5751043,13.3186742,POINT (13.3186742 52.5751043),1201,Reinickendorf,Reinickendorf,11012012,20260206_10041
57,https://www.immowelt.de/expose/8ff1f10a-f497-4fcb-9bcd-fdc2be1b0c94,"Studio zur Miete 528 € 1 Zimmer 19,3 m² EG frei ab 01.03.2026 Rathenaustraße Oberschöneweide Berlin 12459",Studio,528.0,1.0,19.3,0,,,12459,no,", 12459 Oberschöneweide Berlin",52.468305,13.5147534,POINT (13.5147534 52.468305),0909,Oberschöneweide,Treptow-Köpenick,11009009,20260206_10042
58,https://www.immowelt.de/expose/36b15902-e32d-4736-bae5-7869dd1af827,"Studio zur Miete 535 € 1 Zimmer 17,6 m² 2. Geschoss frei ab 01.03.2026 Rathenaustraße Oberschöneweide Berlin 12459",Studio,535.0,1.0,17.6,2,,,12459,no,", 12459 Oberschöneweide Berlin",52.468305,13.5147534,POINT (13.5147534 52.468305),0909,Oberschöneweide,Treptow-Köpenick,11009009,20260206_10043
59,https://www.immowelt.de/expose/f6e9dd76-dbe1-4e66-9ad8-ccdac4b85f6c,"Penthouse zur Miete - Erstbezug 1.499 € 2 Zimmer 58,3 m² 5. Geschoss frei ab 15.04.2026 Friedenauer Höhe 23a Friedenau Berlin 12159",Penthouse,1499.0,2.0,58.3,5,,,12159,yes,", 12159 Friedenau Berlin",52.4729146,13.3369173,POINT (13.3369173 52.4729146),0702,Friedenau,Tempelhof-Schöneberg,11007007,20260206_10044
60,https://www.immowelt.de/expose/859ecaeb-6f40-4db4-a495-674e1ba464d3,"Studio zur Miete 602 € 1 Zimmer 16,9 m² EG frei ab 06.02.2026 Rathenaustraße Oberschöneweide Berlin 12459",Studio,602.0,1.0,16.9,0,,,12459,no,", 12459 Oberschöneweide Berlin",52.468305,13.5147534,POINT (13.5147534 52.468305),0909,Oberschöneweide,Treptow-Köpenick,11009009,20260206_10045
63,https://www.immowelt.de/expose/1a9d9aec-c23d-40a8-8534-23d5e3a97750,Wohnung zur Miete Tauschwohnung 550 € 2 Zimmer 63 m² Zehlendorf Berlin 14109,Wohnung,550.0,2.0,63.0,,,,14109,no,", 14109 Zehlendorf Berlin",52.4198989,13.1438557,POINT (13.1438557 52.4198989),0607,Wannsee,Steglitz-Zehlendorf,11006006,20260206_10046
66,https://www.immowelt.de/expose/5c593121-c4dd-4554-a62e-afc603da6af7,"Loft zur Miete 2.688 € 3 Zimmer 134,4 m² 5. Geschoss Carl-Herz-Ufer 3 Kreuzberg Berlin 10961",Loft,2688.0,3.0,134.4,5,,,10961,no,", 10961 Kreuzberg Berlin",52.492375,13.3969612,POINT (13.3969612 52.492375),0202,Kreuzberg,Friedrichshain-Kreuzberg,11002002,20260206_10047
67,https://www.immowelt.de/expose/10e2ce59-554e-49de-8b32-a457c9ed1840,"Studio zur Miete 2.600 € 5 Zimmer 123,3 m² 1. Geschoss Moabit Berlin 10557",Studio,2600.0,5.0,123.3,1,,,10557,no,", 10557 Moabit Berlin",52.5256483,13.3640508,POINT (13.3640508 52.5256483),0102,Moabit,Mitte,11001001,20260206_10048
