id,name,bakery_type,is_chain,brand_name,address,street,house_number,postal_code,phone,amenities,accessibility,opening_hours,sunday_opening,website,latitude,longitude,district,neighborhood,district_id,neighborhood_id,data_source
1257732880,Karia Backhaus,artisanal,False,,"Landsberger Allee 217i, postal_code    13055
postal_code      NaN
Name: 290, dtype: object Berlin",Landsberger Allee,217i,13055,,Standard Bakery,Fully Accessible,"Mo-Fr 04:00-18:00, Sa 05:00-16:00; Su 05:00-18:00",True,,52.53425489999999,13.488073,Lichtenberg,Alt-Hohenschönhausen,11011011,1110,OSM
1259381372,Herzlich Bäckerei,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 291, dtype: object Berlin",,,,,Standard Bakery,Partial Access,Mo-Su 06:00-18:00; PH 06:00-18:00,True,,52.501093399999995,13.4928396,Lichtenberg,Rummelsburg,11011011,1112,OSM
1262456187,Back & Coffee,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 292, dtype: object Berlin",,,,,Standard Bakery,Not Specified,Mo-Fr 06:00-16:00; Sa 06:00-14:00,,,52.4817774,13.2886184,Charlottenburg-Wilmersdorf,Schmargendorf,11004004,0403,OSM
1263875522,Schwäbische Bäckerei,artisanal,False,,"Weserstraße 25, postal_code    10247
postal_code      NaN
Name: 293, dtype: object Berlin",Weserstraße,25,10247,,outdoor_seating,Not Specified,"Mo-Fr 07:00-17:00; Sa,Su 08:00-13:00",True,,52.5115027,13.463319700000001,Friedrichshain-Kreuzberg,Friedrichshain,11002002,0201,OSM
1264336773,Back Titan,artisanal,False,,"Hans-Sachs-Straße 4E, postal_code    12205
postal_code      NaN
Name: 294, dtype: object Berlin",Hans-Sachs-Straße,4E,12205,,Standard Bakery,Not Specified,,,,52.4433577,13.294777400000001,Steglitz-Zehlendorf,Lichterfelde,11006006,0602,OSM
1265001568,Der Bäcker Feihl,artisanal,False,,"Sewanstraße 4, postal_code    10319
postal_code      NaN
Name: 295, dtype: object Berlin",Sewanstraße,4,10319,,Standard Bakery,Fully Accessible,Mo-Sa 07:00-19:00,,,52.49960670000001,13.4972706,Lichtenberg,Friedrichsfelde,11011011,1101,OSM
1277431226,Back & Snack,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 296, dtype: object Berlin",,,,,Standard Bakery,Not Specified,,,,52.4029247,13.505824,Neukölln,Rudow,11008008,0804,OSM
1279778619,Thoben,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 297, dtype: object Berlin",,,,,Standard Bakery,Fully Accessible,"Mo-Sa 06:00-20:00, Su 09:00-17:00",True,,52.589830600000006,13.2841664,Reinickendorf,Tegel,11012012,1202,OSM
1282080434,Thoben,artisanal,False,,"Wilmersdorfer Straße 131, postal_code    10627
postal_code      NaN
Name: 298, dtype: object Berlin",Wilmersdorfer Straße,131,10627,+49 3031809039,Standard Bakery,Partial Access,Mo-Sa 06:00-20:00; Su 09:00-17:00,True,,52.51060879999999,13.3056795,Charlottenburg-Wilmersdorf,Charlottenburg,11004004,0401,OSM
1284285750,Café Forddamm,artisanal,False,,"Forddamm 13, postal_code    12107
postal_code      NaN
Name: 299, dtype: object Berlin",Forddamm,13,12107,,Standard Bakery,Partial Access,Mo-Fr 06:00-18:00; Sa 06:00-14:00; Su 07:30-16:00,True,,52.4377257,13.383155,Tempelhof-Schöneberg,Mariendorf,11007007,0704,OSM
1288941805,Bäckerei Schnell,artisanal,False,,"Friedrich-Wilhelm-Platz 1, postal_code    12161
postal_code      NaN
Name: 300, dtype: object Berlin",Friedrich-Wilhelm-Platz,1,12161,,outdoor_seating,Not Specified,Mo-Fr 07:00-19:00; Sa 07:00-13:00; Su 07:00-15:00,True,,52.4732416,13.3278256,Tempelhof-Schöneberg,Friedenau,11007007,0702,OSM
1296442460,Backwaren & Cafe,artisanal,False,,"Otawistraße 13, postal_code    NaN
postal_code    NaN
Name: 301, dtype: object Berlin",Otawistraße,13,,,Standard Bakery,Not Specified,"Mo-Fr 06:30-15:00; PH,Sa,Su 08:00-14:00",True,,52.55468599999999,13.340647,Mitte,Wedding,11001001,0105,OSM
1296447141,Tobi's Back & Snack,artisanal,False,,"Müllerstraße 65A, postal_code    13349
postal_code      NaN
Name: 302, dtype: object Berlin",Müllerstraße,65A,13349,,outdoor_seating,Partial Access,Mo-Sa 06:00-16:00; Su 08:00-16:00; PH closed,True,,52.556356599999994,13.342003000000002,Mitte,Wedding,11001001,0105,OSM
1296489623,Steinecke,chain,True,Steinecke,"nan 1, postal_code    10115
postal_code      NaN
Name: 303, dtype: object Berlin",,1,10115,,outdoor_seating,Fully Accessible,Mo-Fr 06:00-19:00; Sa 07:00-14:00; Su 07:00-13:00,True,,52.53169200000001,13.386254,Mitte,Mitte,11001001,0101,OSM
1298512923,Kiezmühle,artisanal,False,,"Ackerstraße 116, postal_code    13355
postal_code      NaN
Name: 304, dtype: object Berlin",Ackerstraße,116,13355,,outdoor_seating,Fully Accessible,Mo-Fr 06:00-19:00; Sa 06:00-13:00; Su 07:00-12:00,True,,52.5377479,13.3851155,Mitte,Gesundbrunnen,11001001,0106,OSM
1298655469,EDEKA Backstube,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 305, dtype: object Berlin",,,,,outdoor_seating,Fully Accessible,Mo-Sa 07:00-22:00,,,52.50760069999999,13.5130618,Lichtenberg,Friedrichsfelde,11011011,1101,OSM
1305230431,Back & Snack,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 306, dtype: object Berlin",,,,,Standard Bakery,Partial Access,Mo-Fr 05:30-17:00; Sa 07:00-14:00; Su 07:00-14:00,True,,52.517624500000004,13.307202,Charlottenburg-Wilmersdorf,Charlottenburg,11004004,0401,OSM
