addr_city,addr_housenumber,addr_postcode,addr_street,capacity_raw,coord_raw,entity_type,lat,lon,name,name_key,operator,owner,phone,source,street,street_norm,website,wikidata_id
Berlin,33,14169,Teltower Damm / Gartenstraße,,Point(13.2657633 52.43188086),cinema,52.43188086,13.2657633,Bali,bali,,,,wikidata,"Teltower Damm 33 / Gartenstraße, 14169 Berlin","Teltower Damm 33 / Gartenstraße, 14169 Berlin",http://www.balikino-berlin.de/,Q47055870
Berlin,216,14167,Teltower Damm,,Point(13.21652778 52.4144681),cinema,52.4144681,13.21652778,Elfi-Lichtspiele,elfi-lichtspiele,,,,wikidata,"Teltower Damm 216, 14167 Berlin","Teltower Damm 216, 14167 Berlin",,Q47055927
Berlin,17,14129,Breisgauer Straße,,Point(13.25377542 52.43705642),cinema,52.43705642,13.25377542,Lumina-Filmtheater Schlachtensee,lumina-filmtheater-schlachtensee,,,,wikidata,"Breisgauer Straße 17, 14129 Berlin","Breisgauer Straße 17, 14129 Berlin",,Q47056347
Berlin,47b,14169,Wilskistraße,,Point(13.25358 52.44949),cinema,52.44949,13.25358,Onkel-Tom-Kino,onkel-tom-kino,,,,wikidata,"Wilskistraße 47b, 14169 Berlin","Wilskistraße 47b, 14169 Berlin",,Q47056485
Berlin,83,14169,Sundgauer Straße,,Point(13.26253143 52.43919255),cinema,52.43919255,13.26253143,Panorama,panorama,,,,wikidata,"Sundgauer Straße 83, 14169 Berlin","Sundgauer Straße 83, 14169 Berlin",,Q47056595
Berlin,8,,Berliner Straße / Gartenstraße 14169 Berlin,,Point(13.26259 52.43469),cinema,52.43469,13.26259,Primus-Palast,primus-palast,,,,wikidata,Berliner Straße 8 / Gartenstraße 14169 Berlin,Berliner Straße 8 / Gartenstraße 14169 Berlin,,Q47056688
Berlin,50a,14163,Potsdamer Str.,,Point(13.24654509 52.43529906),cinema,52.43529906,13.24654509,Zeli,zeli,,,,wikidata,"Potsdamer Str. 50a, 14163 Berlin","Potsdamer Str. 50a, 14163 Berlin",,Q47057275
Berlin,80,14163,Wilskistraße,,Point(13.246269 52.44517),cinema,52.44517,13.246269,Zinnowwald-Schule,zinnowwald-schule,,,,wikidata,"Wilskistraße 80, 14163 Berlin","Wilskistraße 80, 14163 Berlin",,Q47058406
Berlin,525,13589,Stadtrandstraße,,Point(13.15443 52.55649),cinema,52.55649,13.15443,Filmbühne Spandau Stadtrand,filmb-hne-spandau-stadtrand,,,,wikidata,"Stadtrandstraße 525, 13589 Berlin","Stadtrandstraße 525, 13589 Berlin",,Q47077666
Berlin,266a,13583,Falkenseer Chaussee,,Point(13.18625923 52.54700258),cinema,52.54700258,13.18625923,Film-Eck Spandau,film-eck-spandau,,,,wikidata,"Falkenseer Chaussee 266a, 13583 Berlin","Falkenseer Chaussee 266a, 13583 Berlin",,Q47077712
