id,name,artwork_type,artist_name,street,neighborhood_id,district_id,postal_code,material,start_date,image,wikidata,wikimedia_commons,latitude,longitude
12951553526,caritas,sculpture,demetros anastasatos,,0102,11001001,,metal,,,Q135082117,file:relief lübecker str 6 (moabit) caritas&demetros anastasatos&1964.jpg,52.5277054,13.345556
12959527130,hänschenklein,sculpture,"wurzer, poertzel, hertram",,0901,11009009,,stone,1972,,,,52.4934737,13.4583354
12959527131,jugend,sculpture,jorgos iliopolos,,0901,11009009,,limestone,1975,,,,52.4933778,13.4558834
12985532201,drehende kugeln,sculpture,gerhard mantz,,0305,11003003,,steel,1996,file:skulptur hofzeichendamm (karow) drehende kugeln&gerhard mantz&19962.jpg,Q118187976,category:drehende kugeln (gerhard mantz),52.6141783,13.4897903
12985740102,gläsernes kunstwerk,,,,0101,11001001,,,,,,,52.5130846,13.3959962
13039637749,pm 20,mural,rabi,,0301,11003003,,,2023,,Q135527852,file:mural one wall rabi bötzowstraße 53 berlin-prenzlauer berg.jpg,52.5339852,13.4368842
13042902057,hockendes mädchen,statue,marguerite blume-cárdenas,,0301,11003003,,sandstone,,file:skulptur kniprodestr 62 (prenz) hockendes mädchen&marguerite blume-cardenas&1978.jpg,Q110078121,category:hockendes mädchen (marguérite blume-cardenàs),52.5412927,13.4565767
13049087633,rollerkinder,statue,stephan horota,,0302,11003003,,bronze,,file:denkmal hamburger platz (weiß) rollerkinder.jpg,Q110997681,category:rollerkinder by stefan horota (berlin),52.5559046,13.4392045
13057790219,triton,statue,hans schellhorn,,0302,11003003,,stone,1912,file:uferterrasse mit tritonen im park am weißen see in berlin-weißensee 0192.jpg,Q117306789,category:zwei tritonen (hans schellhorn),52.5553744,13.4619645
13057790220,triton,statue,hans schellhorn,,0302,11003003,,stone,1912,file:uferterrasse mit tritonen im park am weißen see in berlin-weißensee 0190.jpg,Q117306789,category:zwei tritonen (hans schellhorn),52.5553111,13.461759
13062122234,affen im dschungel,sculpture,astrid dannegger,,1001,11010010,,,1981-07-01,file:relief allee der kosmonauten 147 (marza) affen im dschungel&astrid dannegger&1981.jpg,Q108546107,category:affen im dschungel (astrid dannegger),52.5332214,13.5486858
13070823575,sonnenuhr,installation,unknown,,0901,11009009,,rock; stainless steel,1970,,,,52.4887587,13.4757895
13074073208,graukraniche,statue,gottfried kohl,,1101,11011011,,,1972,,,,52.5026162,13.5271485
13074073209,zahnspinnerraupe,statue,klaus tilke,,1101,11011011,,terracotta,196§,,,,52.5047567,13.5284534
13074430512,adam,statue,walter lerche,,1101,11011011,,sandstone,1955,,,,52.504501,13.5241657
13074430513,gazellen,statue,walter sutkowski,,1101,11011011,,bronze,1956,,,,52.5043309,13.5228391
13074430514,gazellen,statue,walter sutkowski,,1101,11011011,,bronze,1956,,,,52.5043978,13.5228077
13074430516,känguru,statue,erwin damerow,,1101,11011011,,artificial stone,1964,,,,52.5041388,13.529189
13074430526,fuchs,statue,stephan horota,,1101,11011011,,bronze,1966,,,,52.5020024,13.5302259
13074430527,wildschwein,statue,klaus tilke,,1101,11011011,,terracotta,1957,,,,52.5025056,13.528035
13074430532,panther,statue,erich oehme,,1101,11011011,,bronze,1958,,,,52.4996942,13.5335282
13074430533,kronenhirsch,statue,johann darsow,,1101,11011011,,bronze,1936,,,,52.499825,13.5317297
13074430538,sechs liegende elefanten,sculpture,unknown,,1101,11011011,,stone,,,,,52.5000511,13.5317056
13074430539,sechs liegende elefanten,sculpture,unknown,,1101,11011011,,stone,,,,,52.5000377,13.5316895
13074430540,sechs liegende elefanten,sculpture,unknown,,1101,11011011,,stone,,,,,52.4999781,13.5315654
13074430541,sechs liegende elefanten,sculpture,unknown,,1101,11011011,,stone,,,,,52.4999719,13.5315366
