id,district_id,name,latitude,longitude,geometry,neighborhood,district,neighborhood_id,address_full,operating_hours,services_offered,contact_phone,contact_website,operator_name,data_source
13915181465715484057,re_ortsteil.0801,Job Point,5815285.992481573,393974.26930805005,POINT(393974.26930805005 5815285.992481573),Neukölln,Neukölln,0801,Karl-Marx-Straße,Mo-Fr 09:00-18:00,,+49 30 6808560,,,OSM_LOR_Wikidata
11040426207522091078,re_ortsteil.0801,perZukunft,5815323.1824341975,393959.22897365154,POINT(393959.22897365154 5815323.1824341975),Neukölln,Neukölln,0801,Karl-Marx-Straße,,,,,,OSM_LOR_Wikidata
15208413264387494983,re_ortsteil.0105,Kraftfahrer-Agentur,5824128.271446352,387926.7913566566,POINT(387926.7913566566 5824128.271446352),Wedding,Mitte,0105,Barfusstraße,,,+49 30 4521010,,,OSM_LOR_Wikidata
9772506412610570996,re_ortsteil.0401,McLoud Kids,5819797.544842438,384949.22644483624,POINT(384949.22644483624 5819797.544842438),Charlottenburg,Charlottenburg-Wilmersdorf,0401,,,,,,,OSM_LOR_Wikidata
15148376461150758398,re_ortsteil.0402,Timejobs 24/7,5816027.043999761,385924.26379299414,POINT(385924.26379299414 5816027.043999761),Wilmersdorf,Charlottenburg-Wilmersdorf,0402,Blissestraße,,,,,,OSM_LOR_Wikidata
13775224363867685671,re_ortsteil.0701,Tertia,5815698.378455023,387685.5860149409,POINT(387685.5860149409 5815698.378455023),Schöneberg,Tempelhof-Schöneberg,0701,Hauptstraße,"Mo-Fr 09:00-13:30,14:30-18:00; Sa 09:00-13:00",,,,,OSM_LOR_Wikidata
2809776690755729142,re_ortsteil.0301,Litus Novum,5820077.554987779,395933.9325819852,POINT(395933.9325819852 5820077.554987779),Prenzlauer Berg,Pankow,0301,,"""Termine nach Vereinbarung""",,,,,OSM_LOR_Wikidata
484010722911927198,re_ortsteil.0601,per Zukunft,5813791.510479639,385967.9773374285,POINT(385967.9773374285 5813791.510479639),Steglitz,Steglitz-Zehlendorf,0601,Schildhornstraße,,,,,,OSM_LOR_Wikidata
5605789096033920012,re_ortsteil.0402,Mein Ass,5816320.339600903,385969.4427068725,POINT(385969.4427068725 5816320.339600903),Wilmersdorf,Charlottenburg-Wilmersdorf,0402,Wilhelmsaue,Mo-Fr 09:00-17:00,,,,,OSM_LOR_Wikidata
15166256520533745160,re_ortsteil.0401,Job-Point,5818861.009202725,385164.2438935049,POINT(385164.2438935049 5818861.009202725),Charlottenburg,Charlottenburg-Wilmersdorf,0401,Pestalozzistraße,Mo-Fr 09:00-18:00,,,,,OSM_LOR_Wikidata
