technical_id,key,object_number,district_id,district,neighborhood,green_area_type,playground_name,playground_suffix,year_built,last_renovation_year,area_sqm,dedication,planning_area_number,planning_area_name,net_play_area_sqm,full_address,latitude,longitude,geometry,osm_name,distance_to_osm
00008100_0012d8f8,00008100:0012d8f8,00624,7,Tempelhof-Schöneberg,Tempelhof,Spielplatz,Sennockstr.,Zirkus Kunterbunt,,,1709.0,gewidmet,7400824.0,Bosepark,917.0,"Sennockstr.,Bosepark, Berlin, Germany",52.4678454,13.3820779,POINT (1489686.0975839198 6885164.00989739),,
00008100_0012dcda,00008100:0012dcda,17315,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Eisenacher Str. 4-5,"Fuggerstr. 1, Bolzplatz etc",1963.0,2009.0,1033.0,gewidmet,7100102.0,Kalckreuthstraße,548.0,"Eisenacher Str. 4-5,Kalckreuthstraße, Berlin, Germany",52.4977823,13.3495654,POINT (1486066.8226395033 6890636.20048497),,
00008100_0012dcea,00008100:0012dcea,17296,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Neue Steinmetzstr. 5,Unknown,1974.0,,517.0,gewidmet,7100206.0,Großgörschenstraße,242.0,"Neue Steinmetzstr. 5,Großgörschenstraße, Berlin, Germany",52.4909131,13.362397,POINT (1487495.2298175665 6889380.244509949),,18.80517716310025
00008100_0012dd08,00008100:0012dd08,17263,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Großgörschenstr. 29,"östlich S-Bahn, Bolzplatz etc",,2018.0,1083.0,gewidmet,7100206.0,Großgörschenstraße,557.0,"Großgörschenstr. 29,Großgörschenstraße, Berlin, Germany",52.4916118,13.3677946,POINT (1488096.087901072 6889507.98498538),,18.37553278010727
00008100_000e3cae,00008100:000e3cae,101767,6,Steglitz-Zehlendorf,Steglitz,Spielplatz,Martinstraße 9 SP,Unknown,,,623.0,gewidmet,6100207.0,Mittelstraße,279.05,"Martinstraße 9 SP,Mittelstraße, Berlin, Germany",52.4527406,13.3220346,POINT (1483002.1080023719 6882404.403694266),,
00008100_0011dfb2,00008100:0011dfb2,40485,5,Spandau,Siemensstadt,Spielplatz,Jugendweg (KS),"Ecke Rohrdamm (ehem. R-Reinick-GS (KS), 13629",,2019.0,2402.0,Unknown,5300841.0,Siemensdamm,2223.0,"Jugendweg (KS),Siemensdamm, Berlin, Germany",52.5377824,13.2682821,POINT (1477018.4070735064 6897953.669877872),,
00008100_0011df22,00008100:0011df22,60115,5,Spandau,Staaken,Spielplatz,Torweg (KS),Ecke Isenburger Weg,2005.0,2018.0,2185.0,gewidmet,5200418.0,Isenburger Weg,2185.0,"Torweg (KS),Isenburger Weg, Berlin, Germany",52.540539,13.1312992,POINT (1461769.5403981206 6898458.1975013865),,
00008100_0011e3c2,00008100:0011e3c2,30270,5,Spandau,Wilhelmstadt,Spielplatz,Jaczostraße (KS),,,2020.0,4110.0,gewidmet,5200634.0,Börnicker Straße,2877.0,"Jaczostraße (KS),Börnicker Straße, Berlin, Germany",52.5141355,13.1910612,POINT (1468422.2158069082 6893626.989025561),,
00008100_00212c40,00008100:00212c40,23657,5,Spandau,Spandau,Spielplatz,Jägerstraße,Unknown,2015.0,,715.0,gewidmet,5200630.0,Wilhelmstadt West,850.0,"Jägerstraße,Wilhelmstadt West, Berlin, Germany",52.5235074,13.196498,POINT (1469027.4376144533 6895341.489928105),,
00008100_0011e130,00008100:0011e130,00555,5,Spandau,Spandau,Spielplatz,Mittelstraße (KS),,1998.0,,3000.0,gewidmet,5100315.0,Ackerstraße,2624.0,"Mittelstraße (KS),Ackerstraße, Berlin, Germany",52.5477842,13.2000207,POINT (1469419.5827846706 6899784.403695056),,
