id,brand,shop,amenity,operator_original,brand_original,addr:street,addr:housenumber,addr:postcode,level,wheelchair_access,service_copy,service_print,service_app_operated,service_barcode_scanner,service_bluetooth,service_display_operated,service_label_printer,locker_type,service_parcel_mail_in,service_parcel_pickup,note,note_de,description,geometry,latitude,longitude,opening_hours,website,source,last_checked,data_source,operator,district,neighborhood_id,neighborhood
10873548179,Independent Retailer,,parcel_locker,Amazon,Amazon Locker,,,,,,,,,,,,,cabinet,yes,yes,,,,POINT (13.2961363 52.4853012),52.4853012,13.2961363,,,,,OpenStreetMap,Amazon,Charlottenburg-Wilmersdorf,0403,Schmargendorf
10888866508,Independent Retailer,,parcel_locker,,Amazon Hub,,,,,,,,,,,,,,,,,,,POINT (13.3765608 52.4549766),52.4549766,13.3765608,,,,,OpenStreetMap,Unknown,Tempelhof-Schöneberg,0703,Tempelhof
10895887760,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,yes,,,,,,,,cabinet,yes,yes,,,,POINT (13.5128748 52.4298415),52.4298415,13.5128748,24/7,,,,OpenStreetMap,DHL,Treptow-Köpenick,0904,Johannisthal
10901187937,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,,,,,,,,,,yes,yes,,,,POINT (13.3743484 52.5005242),52.5005242,13.3743484,,,,,OpenStreetMap,DHL,Friedrichshain-Kreuzberg,0202,Kreuzberg
10901187938,Independent Retailer,,parcel_locker,Amazon,Amazon Hub,,,,,,,,,,,,,,,yes,,,,POINT (13.3769046 52.5003834),52.5003834,13.3769046,,,,,OpenStreetMap,Amazon,Friedrichshain-Kreuzberg,0202,Kreuzberg
10918243048,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,yes,,,,,,,,cabinet,yes,yes,,,,POINT (13.509107 52.4038654),52.4038654,13.509107,,,,,OpenStreetMap,DHL,Neukölln,0804,Rudow
10923557993,Amazon,,parcel_locker,Amazon,Amazon Locker,,,,0,yes,,,,,,,,,no,yes,,,,POINT (13.3088402 52.5164254),52.5164254,13.3088402,24/7,,survey,,OpenStreetMap,Amazon,Charlottenburg-Wilmersdorf,0401,Charlottenburg
10941963174,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,limited,,,,,,,,,yes,yes,,,,POINT (13.4785389 52.5003285),52.5003285,13.4785389,24/7,,,,OpenStreetMap,DHL,Lichtenberg,1112,Rummelsburg
10943259778,Independent Retailer,,parcel_locker,Amazon,Amazon Hub,,,,,,,,only,,,,,cabinet,no,yes,,,,POINT (13.5873659 52.4244792),52.4244792,13.5873659,24/7,,,,OpenStreetMap,Amazon,Treptow-Köpenick,0910,Köpenick
10956603338,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,yes,,,,,,,,cabinet,yes,yes,,,,POINT (13.6206633 52.5301697),52.5301697,13.6206633,,,,,OpenStreetMap,DHL,Marzahn-Hellersdorf,1005,Hellersdorf
10958408721,Amazon,,parcel_locker,,Amazon Locker,,,,0,limited,,,,,,,,cabinet,,yes,,,,POINT (13.3099647 52.5143249),52.5143249,13.3099647,24/7,,,,OpenStreetMap,Unknown,Charlottenburg-Wilmersdorf,0401,Charlottenburg
10958933602,Independent Retailer,,parcel_locker,Amazon,Amazon Locker,,,,,,,,,,,,,,,yes,,,,POINT (13.3957885 52.5607656),52.5607656,13.3957885,,,,,OpenStreetMap,Amazon,Mitte,0106,Gesundbrunnen
10967466967,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,yes,,,,,,,,cabinet,yes,yes,,,,POINT (13.6202971 52.5397647),52.5397647,13.6202971,,,,,OpenStreetMap,DHL,Marzahn-Hellersdorf,1005,Hellersdorf
10967709463,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,yes,,,,,,,,cabinet,yes,yes,,,,POINT (13.5897289 52.5387575),52.5387575,13.5897289,24/7,,,,OpenStreetMap,DHL,Marzahn-Hellersdorf,1005,Hellersdorf
10967709464,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,yes,,,,,,,,cabinet,yes,yes,,,,POINT (13.58984 52.5386913),52.5386913,13.58984,24/7,,,,OpenStreetMap,DHL,Marzahn-Hellersdorf,1005,Hellersdorf
