id,name,category,lat,lon,geometry,district,district_id,neighborhood,neighborhood_id,website,wheelchair
12409534428,Erna Muszkat,memorial,52.4889732,13.3561903,POINT (13.3561903 52.4889732),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/vorbergstr/13/erna-muszkat,
12415851931,Unknown,memorial,52.5307835,13.465434,POINT (13.465434 52.5307835),Lichtenberg,11011011,Fennpfuhl,1111,,
12419746295,Elfriede Apt,memorial,52.4870155,13.3527888,POINT (13.3527888 52.4870155),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/30/elfriede-apt,
12419746296,Erna Apt,memorial,52.4870186,13.3527951,POINT (13.3527951 52.4870186),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/30/erna-apt,
12419746297,Gertrud Apt,memorial,52.487021,13.3527874,POINT (13.3527874 52.487021),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/belziger-str/30/gertrud-apt,
12419792699,Ernst Ruben,memorial,52.487752,13.3493184,POINT (13.3493184 52.487752),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/eisenacher-str/48/ernst-ruben,
12419811929,Wulf Fajgenbaum,memorial,52.4884934,13.3490942,POINT (13.3490942 52.4884934),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/eisenacher-str/46/wulf-fajgenbaum,
12419937468,Anna Hirschberg,memorial,52.4887508,13.3574261,POINT (13.3574261 52.4887508),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/vorbergstr/15/anna-hirschberg,
12420673350,Anita Hani Blume Pilzer,memorial,52.4883016,13.3484551,POINT (13.3484551 52.4883016),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/apostel-paulus-strasse/7/anita-hani-blume-pilzer,
12420691964,Erich Waldbaum,memorial,52.4865814,13.3556526,POINT (13.3556526 52.4865814),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/akazienstr/3/erich-waldbaum,
12420691965,Hans Waldbaum,memorial,52.486585,13.3556491,POINT (13.3556491 52.486585),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/akazienstr/3/hans-waldbaum,
12420691966,Kurt Waldbaum,memorial,52.4865885,13.3556448,POINT (13.3556448 52.4865885),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/akazienstr/3/kurt-waldbaum,
12420691967,Siegfried Katzki,memorial,52.4865926,13.3556417,POINT (13.3556417 52.4865926),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/akazienstr/3/siegfried-katzki,
12420705736,Albert Falk,memorial,52.4850863,13.353698,POINT (13.353698 52.4850863),Tempelhof-Schöneberg,11007007,Schöneberg,0701,https://www.stolpersteine-berlin.de/de/hauptstr/30/albert-falk,
